Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Nativelead Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://nativelead.com,,,,,,Unverified – inferred,HQ India,https://nativelead.com,B,approved_high
TiE Angels / TiE Delhi-NCR Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://tie.org,,,,,,Unverified – inferred,HQ India,https://tie.org,B,approved_high
TiE Bangalore Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://bangalore.tie.org,,,,,,Unverified – inferred,HQ India,https://bangalore.tie.org,B,approved_high
TiE Mumbai Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://mumbai.tie.org,,,,,,Unverified – inferred,HQ India,https://mumbai.tie.org,B,approved_high
IAMAI Angel Network,Syndicate / Network,"Pre-Seed, Seed",,"Sector Agnostic, Consumer / D2C",,https://www.iamai.in,,medium,,,,Unverified – inferred,HQ India,https://www.iamai.in,B,approved_high
NASSCOM 10000 Startups Mentors / Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://10000startups.com,,medium,,,,Unverified – inferred,HQ India,https://10000startups.com,B,approved_high
JITO Angel Network Fund,VC,"Pre-Seed, Seed",,Sector Agnostic,,https://jito.org,,Related Singhvi/JITO row,,,,Unverified – inferred,HQ India,https://jito.org,B,approved_high
Tata Capital Innovations,Corporate / CVC,"Seed, Series A",,"Fintech, Sector Agnostic",,https://www.tatacapital.com,,,,,,Unverified – inferred,HQ India,https://www.tatacapital.com,B,approved_high
HDFC Capital Affordable Real Estate / Proptech,VC,"Series A, Series B",,PropTech / Real Estate,,https://www.hdfccapital.com,,,,,,Unverified – inferred,HQ India,https://www.hdfccapital.com,B,approved_high
IIT Madras Incubation Cell / IITMIC,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.incubation.iitm.ac.in,,,,,,Unverified – inferred,HQ India,https://www.incubation.iitm.ac.in,B,approved_high
IIT Bombay SINE,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://sineiitb.org,,,,,,Unverified – inferred,HQ India,https://sineiitb.org,B,approved_high
IIT Delhi FITT,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://fitt-iitd.in,,,,,,Unverified – inferred,HQ India,https://fitt-iitd.in,B,approved_high
IIT Kanpur SIIC,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://siic.iitk.ac.in,,,,,,Unverified – inferred,HQ India,https://siic.iitk.ac.in,B,approved_high
IIM Calcutta Innovation Park,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.iimcip.org,,,,,,Unverified – inferred,HQ India,https://www.iimcip.org,B,approved_high
ISB CEL / DLabs,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://cel.isb.edu,,,,,,Unverified – inferred,HQ India,https://cel.isb.edu,B,approved_high
NIDHI PRAYAS / NITI Aayog intermediaries,Accelerator,Pre-Seed,,Deep Tech,,https://www.nstedb.com,,medium,,,,Unverified – inferred,HQ India,https://www.nstedb.com,B,approved_high
Startup Oasis,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://startupoasis.in,,,,,,Unverified – inferred,HQ India,https://startupoasis.in,B,approved_high
Forge Innovation & Ventures,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.forgeforward.in,,,,,,Unverified – inferred,HQ India,https://www.forgeforward.in,B,approved_high
KIIT TBI,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://kiitincubator.in,,,,,,Unverified – inferred,HQ India,https://kiitincubator.in,B,approved_high
PSG-STEP,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://psgstep.org,,,,,,Unverified – inferred,HQ India,https://psgstep.org,B,approved_high
GSF Accelerator Fund,VC,"Pre-Seed, Seed",,Sector Agnostic,,https://gsf.fund,,Related GSF,,,,Unverified – inferred,HQ India,https://gsf.fund,B,approved_high
Caspian Impact Investments,VC,"Seed, Series A",,"Impact, Fintech",,https://www.caspian.in,,Related Caspian Equity,,,,Unverified – inferred,HQ India,https://www.caspian.in,B,approved_high
Villgro,Accelerator,"Pre-Seed, Seed",,"Impact, Agritech / Food, Health",,https://villgro.org,,,,,,Unverified – inferred,HQ India,https://villgro.org,B,approved_high
Rajan Anandan Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,https://www.linkedin.com/in/rajananandan,,,,,,Unverified – inferred,HQ India,https://www.linkedin.com/in/rajananandan,B,approved_high
NABARD subsidiaries / NABKISAN,VC,"Seed, Series A",,Agritech / Food,,https://www.nabard.org,,medium,,,,Unverified – inferred,HQ India,https://www.nabard.org,B,approved_high
SIDBI Fund of Funds / daughter funds managers list,VC,"Pre-Seed, Seed",,Sector Agnostic,,https://www.sidbi.in,,Split later — medium,,,,Unverified – inferred,HQ India,https://www.sidbi.in,B,approved_high
National Investment and Infrastructure Fund (NIIF) Private Markets,VC,"Series B, Growth",,Sector Agnostic,,https://www.niifindia.in,,Growth — not mega global PE,,,,Unverified – inferred,HQ India,https://www.niifindia.in,B,approved_high
TCS coventure / TCS Innovation,Corporate / CVC,"Seed, Series A",,"SaaS / Enterprise, AI / ML",,https://www.tcs.com,,medium,,,,Unverified – inferred,HQ India,https://www.tcs.com,B,approved_high
Infosys Innovation Fund / Infosys Cobalt partners,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,https://www.infosys.com,,medium,,,,Unverified – inferred,HQ India,https://www.infosys.com,B,approved_high
Wipro Ventures,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,https://www.wipro.com,,,,,,Unverified – inferred,HQ India,https://www.wipro.com,B,approved_high
Tech Mahindra Ventures / Makers Lab investments,Corporate / CVC,"Seed, Series A",,Sector Agnostic,,https://www.techmahindra.com,,medium,,,,Unverified – inferred,HQ India,https://www.techmahindra.com,B,approved_high
Zoho Capital / Zoho investments,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,https://www.zoho.com,,medium,,,,Unverified – inferred,HQ India,https://www.zoho.com,B,approved_high
Freshworks Ventures / Freshworks Capital,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,https://www.freshworks.com,,medium,,,,Unverified – inferred,HQ India,https://www.freshworks.com,B,approved_high
Chargebee investments desk,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,https://www.chargebee.com,,medium,,,,Unverified – inferred,HQ India,https://www.chargebee.com,B,approved_high
Postman Fund / Postman investments,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,https://www.postman.com,,medium,,,,Unverified – inferred,HQ India,https://www.postman.com,B,approved_high
BrowserStack investments,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,https://www.browserstack.com,,medium,,,,Unverified – inferred,HQ India,https://www.browserstack.com,B,approved_high
