name,slug,typeId,website,stages,source
021 Capital,021-capital,vc,https://021.capital,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
108 Capital,108-capital,vc,https://108.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
2am VC,2am-vc,vc,https://www.2amvc.com,"Pre-Seed,Series A",
77 East Ventures,77-east-ventures,vc,https://77eastvp.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Aagama Ventures,aagama-ventures,vc,https://aagama.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Accion Venture Lab,accion-venture-lab,vc,https://www.accion.org,Pre-Seed,https://www.accion.org
Acumen,acumen,vc,https://acumen.org,"Seed,Series A",https://acumen.org
Advantedge,advantedge,vc,https://advantedge.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Alyxis Ventures,alyxis-ventures,vc,https://alyxisventures.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Amicus Capital,amicus-capital,vc,https://amicuscapital.in,"Series A,Series B",https://amicuscapital.in
Andreessen Horowitz,andreessen-horowitz,vc,https://a16z.com,"Seed,Series A,Series B",https://a16z.com
Asha Impact,asha-impact,vc,https://ashaimpact.com,"Seed,Series A",https://ashaimpact.com
Asha Ventures,asha-ventures,vc,https://ashaventures.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Atomico,atomico,vc,https://www.atomico.com,"Series A,Series B",https://www.atomico.com
Audacity Ventures,audacity-ventures,vc,https://audacityvc.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
AudTen Capital,audten-capital,vc,https://audten.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Aureolis Ventures,aureolis-ventures,vc,https://aureolis.co.in,"Pre-Seed,Series A",
Avaana Capital,avaana-capital,vc,https://avaanacapital.com,"Seed,Series A",https://avaanacapital.com
Balderton Capital,balderton-capital,vc,https://www.balderton.com,"Series A,Series B",https://www.balderton.com
Beams VC,beams-vc,vc,https://beams.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Bessemer Venture Partners,bessemer-venture-partners,vc,https://www.bvp.com,"Seed,Series A,Series B",https://www.bvp.com
Breakthrough Energy Ventures,breakthrough-energy-ventures,vc,https://www.breakthroughenergy.org,"Series A,Series B",https://www.breakthroughenergy.org
Breathe Capital,breathe-capital,vc,https://breathecap.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
British International Investment,british-international-investment,vc,https://www.bii.co.uk,"Series A,Series B,Series C+",https://www.bii.co.uk
Canbank Venture Capital Fund,canbank-venture-capital-fund,vc,https://www.canbankventure.com,"Seed,Series A",https://www.canbankventure.com
Capitar Ventures,capitar-ventures,vc,https://capitar.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Caspian Impact Investments,caspian-impact-investments,vc,https://www.caspian.in,"Seed,Series A",https://www.caspian.in
