Company,Company Type,India relevance,Source,Notes,Wave,Status,mentionCount
ServiceNow Ventures,VC,Active India cheque,/news/businessnext-raises-40m-series-c-700m-valuation-servicenow-ventures | /news/businessnext-raises-40m-series-b-700m-valuation-servicenow-ventures,Extracted from news: SaaS Company BUSINESSNEXT Raises $40 Mn At $700 Mn Valuation,B-candidate,needs_triage,2
Fund III Inflexor Ventures,VC,Active India cheque,/news/inflexor-ventures-fund-iii-first-close-400-crore,"Extracted from news: Inflexor Ventures raises  ₹400 crore in first close of  ₹1,250 crore Fund III",B-candidate,needs_triage,1
Nexus Venture Partners to expand quick commerce across India,VC,Active India cheque,/news/plazza-raises-15m-series-a-quick-commerce-india,Extracted from news: Funding and acquisitions in Indian startups this week [July 20 - July 25] ,B-candidate,needs_triage,1
IPO Funding From Bharat Value Fund,VC,Active India cheque,/news/zetwerk-raises-500-crore-pre-ipo-round-bharat-value-fund,Extracted from news: Exclusive: Zetwerk Bags ₹500 Cr Pre-IPO Funding From Bharat Value Fund,B-candidate,needs_triage,1
Bharat Value Fund,VC,Active India cheque,/news/zetwerk-raises-500-crore-pre-ipo-round-bharat-value-fund,Extracted from news: Exclusive: Zetwerk Bags ₹500 Cr Pre-IPO Funding From Bharat Value Fund,B-candidate,needs_triage,1
Sanjay Nayar,VC,Active India cheque,/news/sorin-investments-fund-ii-2000-crore-india-startups,"Extracted from news: Sorin Investments set to launch second fund with a  ₹2,000 crore corpus",B-candidate,needs_triage,1
Info Edge,VC,Active India cheque,/news/urban-harvest-raises-35-9m-series-d-info-edge-162m-valuation,Extracted from news: Exclusive: Urban Harvest board to approve Rs 341 Cr Series D round from 58 investors ,B-candidate,needs_triage,1
OrbiMed to expand IVF clinics across Tier 2,VC,Active India cheque,/news/iswarya-fertility-clinics-series-a-350-crore-orbimed,Extracted from news: India’s fertility chain raised ₹350 crore after 40 years without outside money,B-candidate,needs_triage,1
Tier 3 cities in India,VC,Active India cheque,/news/iswarya-fertility-clinics-series-a-350-crore-orbimed,Extracted from news: India’s fertility chain raised ₹350 crore after 40 years without outside money,B-candidate,needs_triage,1
Lowercarbon Capital,VC,Active India cheque,/news/solarsquare-53m-series-c-lightspeed-ms-dhoni,Extracted from news: MS Dhoni invests in SolarSquare as part of $53 Mn Series C round ,B-candidate,needs_triage,1
NGP Capital,VC,Active India cheque,/news/solarsquare-53m-series-c-lightspeed-ms-dhoni,Extracted from news: MS Dhoni invests in SolarSquare as part of $53 Mn Series C round ,B-candidate,needs_triage,1
Lightspeed with MS Dhoni,VC,Active India cheque,/news/solarsquare-53m-series-c-lightspeed-ms-dhoni,Extracted from news: MS Dhoni invests in SolarSquare as part of $53 Mn Series C round ,B-candidate,needs_triage,1
NGP Capital to scale India's rooftop solar market,VC,Active India cheque,/news/solarsquare-53m-series-c-lightspeed-ms-dhoni,Extracted from news: MS Dhoni invests in SolarSquare as part of $53 Mn Series C round ,B-candidate,needs_triage,1
Transition VC,VC,Active India cheque,/news/transition-vc-fund-ii-1500-crore-deeptech-energy-transition,"Extracted from news: Transition VC Launches ₹1,500 Cr Fund To Back Deeptech Startups",B-candidate,needs_triage,1
Cr Fund,VC,Active India cheque,/news/transition-vc-fund-ii-1500-crore-deeptech-energy-transition,"Extracted from news: Transition VC Launches ₹1,500 Cr Fund To Back Deeptech Startups",B-candidate,needs_triage,1
To Back Deeptech Startups Transition VC,VC,Active India cheque,/news/transition-vc-fund-ii-1500-crore-deeptech-energy-transition,"Extracted from news: Transition VC Launches ₹1,500 Cr Fund To Back Deeptech Startups",B-candidate,needs_triage,1
Led Investment,VC,Active India cheque,/news/veriqus-group-raises-387-crore-ai-investment-platform,Extracted from news: Wealthtech Startup Veriqus Raises ₹387 Cr To Build AI-Led Investment Platform,B-candidate,needs_triage,1
Norwest Capital,VC,Active India cheque,/news/raghu-vamsi-aerospace-group-40m-funding-norwest-capital,Extracted from news: Norwest Capital Co-Leads $40 Mn Round In Raghu Vamsi Aerospace,B-candidate,needs_triage,1
Norwest Capital to scale India's aerospace,VC,Active India cheque,/news/raghu-vamsi-aerospace-group-40m-funding-norwest-capital,Extracted from news: Norwest Capital Co-Leads $40 Mn Round In Raghu Vamsi Aerospace,B-candidate,needs_triage,1
Norwest,VC,Active India cheque,/news/raghu-vamsi-aerospace-group-40m-series-b-norwest-skegen,"Extracted from news: Raghu Vamsi Aerospace Group raises $40 Mn led by Norwest, Skegen Asset Management ",B-candidate,needs_triage,1
