Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source
Sequoia (India) / Peak XV,VC / Growth (seed to pre-IPO),"Seed (Surge), Series A, Series B+, Growth","Full-stack partner backing founders from seed to IPO across India and Southeast Asia; build enduring companies, increasingly AI-focused.","AI, SaaS, FinTech, Consumer Internet, Enterprise, Developer Tools",Surge seed up to $3M; Series A ~$8–16M; larger growth cheques,https://www.peakxv.com,https://www.linkedin.com/company/peakxvpartners/,"Independent since 2023 Sequoia split. ~$9B AUM across 13 funds; 440+ cos, 39 unicorns, 26+ IPOs (Zomato, Meesho, Groww, Wakefit). Raised ~$1.3B in 2026. Runs Surge (170+ startups). Led by Shailendra Singh.",,,"Peak XV Partners is the leading venture and growth firm across India and Southeast Asia, operating independently since its 2023 separation from Sequoia Capital. It manages roughly $9 billion across 13 funds and has backed over 440 companies in 19 years, producing 39 unicorns and more than two dozen public listings, including Zomato, Meesho, Groww and Wakefit. In early 2026 it raised about $1.3 billion across three vehicles — an India seed fund, an India venture fund and an APAC fund — with most capital earmarked for India. Peak XV runs a full-stack model spanning seed to pre-IPO. Its Surge program (launched 2019) gives early-stage founders up to $3 million in seed capital plus company-building workshops and a global operator community; over 170 startups and 400+ founders have gone through it. Series A cheques typically range $8–16 million, with deep follow-on reserves for winners. The team of ~89, including 16 partners across Bengaluru and Singapore, is led by Shailendra Singh and is increasingly focused on AI and cross-border opportunities. With one of Asia's largest portfolios and an integrated seed-to-IPO platform, Peak XV remains the default institutional partner for the region's most ambitious technology founders.","Verified (web sources, 2025–26)",,
Kalaari Capital,"VC (early-stage, technology)","Seed, Series A (+ Series B follow-on)","Back the unknown Indian entrepreneur poised to become tomorrow's global leader; partner early with technology and tech-enabled founders and lead rounds, nurturing them across the growth journey.","Consumer, Enterprise/SaaS, FinTech, Retail, HealthTech, DeepTech","$500K–$5M (Seed avg ~$2.2M, Series A avg ~$4.85M); prefers to lead",https://kalaari.com,https://www.linkedin.com/company/kalaari-capital/,"Bengaluru. Founded 2006 as Indo-US Venture Partners (NEA partnership); rebranded Kalaari 2012. Founders Vani Kola & Vinod Dham. ~$650M AUM, 157 cos, 8 unicorns, 3 IPOs, 31 acquisitions. Portfolio: Myntra, Cult.fit, BlueStone, Digantara. Team 29 incl 11 partners.",,,"Kalaari Capital is one of India's pioneering early-stage technology venture firms, founded in 2006 by Vani Kola and Vinod Dham as Indo-US Venture Partners — a partnership with NEA — and rebranded as Kalaari in 2012. Headquartered in Bengaluru, it manages approximately $650 million across its funds and is led by Managing Director Vani Kola, who spent 22 years building and exiting technology companies in Silicon Valley before returning to India. That operator-turned-investor perspective shapes Kalaari's founder-first, mentorship-led approach. The firm invests primarily at seed and Series A, writing cheques of roughly $500K to $5 million, and prefers to lead rounds while reserving capital for follow-on participation; average seed rounds run about $2.2 million and Series A near $4.85 million. Across 19 years it has backed around 157 companies, producing 8 unicorns, 3 IPOs and 31 acquisitions, with notable names including Myntra, Cult.fit, BlueStone and, more recently, space-data startup Digantara. Its team of 29, including 11 partners, spans technology, consumer, fintech and operations expertise. Beyond capital, Kalaari operates as a thought-leadership and community engine, offering portfolio companies structured playbooks and domain knowledge. The firm is also a champion of first-time and diverse founders, reflecting Kola's philosophy of recognising and scaling ambitious early entrepreneurs.","Verified (web sources, 2025–26)",,
Nexus Venture Partners,"VC (cross-border India–US, early & early-growth)","Inception, Seed, Series A (+ Series B follow-on)",Back extraordinary founders building product-first companies that redefine categories across the world's two largest startup ecosystems — the US and India; be the first institutional investor and partner from day one.,"AI, Enterprise Software & Infrastructure, Consumer, FinTech, Vertical SaaS, Commerce",$500K–$10M; prefers first institutional cheque and a board seat,https://nexusvp.com,https://www.linkedin.com/company/nexusvp/,"Founded 2006. HQ Menlo Park + Bengaluru/Mumbai. ~$3.2B AUM across 11 funds; Fund VIII $700M (Dec 2025, largest global VC fund of 2025), Fund VII $700M (2023). 130+ active cos, 16 unicorns, 11 IPOs. Portfolio: Delhivery, Postman, Zepto, Rapido, Infra.Market, Turtlemint. GPs: Suvir Sujan, Anup Gupta (India); Jishnu Bhattacharjee, Abhishek Sharma (US).",,,"Nexus Venture Partners is a pioneering cross-border venture capital firm built specifically around the two largest startup ecosystems in the world — the United States and India. Founded in 2006, it operates from Menlo Park alongside Bengaluru and Mumbai, and manages roughly $3.2 billion across eleven funds. In December 2025 it closed its eighth fund at $700 million — described as the largest venture fund raised globally that year — deliberately splitting capital between US-based AI investments and India-focused opportunities; its seventh fund (2023) was also $700 million. Nexus typically acts as the first institutional investor at inception, seed and Series A, writing cheques from about $500K to $10 million, taking a board seat, and reserving capital for follow-on rounds. Its focus spans AI, enterprise software and infrastructure, consumer technology, fintech and commerce. Across nearly 20 years it has backed more than 130 active companies, producing 16 unicorns and 11 IPOs, including Delhivery, Postman, Zepto, Rapido, Infra.Market and Turtlemint, and has returned significant liquidity through exits such as Delhivery, PubMatic, MapmyIndia and Unicommerce. The firm — led by general partners Suvir Sujan and Anup Gupta in India and Jishnu Bhattacharjee and Abhishek Sharma in the US — encourages Indian portfolio companies to establish US operations early, bridging talent and capital across both markets.","Verified (web sources, 2025–26)",,
Sanjay Mehta,Angel Investor (Individual) / Family Office,"Pre-Seed, Seed (first-cheque)","First-cheque angel backing disruptive early-stage founders across India and the US; plays the power law — focus on the magnitude of a few outsized successes rather than frequency, holding 3–5 years for outcomes.","FinTech, Consumer, SaaS, Crypto/Blockchain, SpaceTech, Enterprise",Personal angel cheques (small first cheques); via 100X.VC uses iSAFE notes (~INR 25 lakh / ~$30–50K),https://www.100x.vc,https://www.linkedin.com/in/sanjaymehta/,"Mumbai. Angel since 2011; 150–230+ personal investments. Founder/Partner 100X.VC (SEBI AIF, sponsored by Mehta Ventures family office). 4 unicorns: OYO (280x exit), CoinDCX, Block.One, AXIOM Space. Portfolio: OYO, Wow! Momo, Box8, LogiNext, Unbxd, PrettySecrets, Coolberg, InstaSafe.",,,"Sanjay Mehta is among the most prolific and successful angel investors in India, a Mumbai-based serial entrepreneur who has been a first-cheque backer of early-stage startups since 2011. Before investing, he founded MAIA Intelligence, later acquired by Datamatics. Across his personal career he has backed somewhere between 150 and 230+ startups in India and the US, and is widely cited as the only Indian angel with four unicorns to his name: OYO, crypto exchange CoinDCX, blockchain company Block.One, and US space-infrastructure firm AXIOM Space. His most celebrated outcome was a roughly 280x return from an early OYO position; a partial exit from Block.One returned several thousand percent in under three years. Mehta articulates a power-law philosophy — that a small fraction of a portfolio drives almost all returns, so investors should optimise for the magnitude of success, not its frequency, and be patient across three-to-five-year horizons. In December 2019 he institutionalised this approach by founding 100X.VC, India's first fund to invest using iSAFE (India SAFE) notes, sponsored by his Mehta Ventures family office, with an ambition to back 100 startups a year. Notable portfolio names include OYO, Wow! Momo, Box8, LogiNext, Unbxd, PrettySecrets, Coolberg and InstaSafe. He is also a prominent blogger and ecosystem thought leader.","Verified (web sources, 2020–26)",,
Kunal Shah,Angel Investor (Individual) / Founder,"Pre-Seed, Seed","Founder-angel backing consumer-internet and fintech businesses that leverage trust, data and distribution to reshape Indian markets; brings deep behavioural-economics insight and strong ecosystem signalling.","FinTech, Consumer Internet, SaaS, Commerce, Marketplaces",Individual angel cheques (typically undisclosed; often part of a syndicate/consortium),https://cred.club,https://www.linkedin.com/in/kunalshah1/,"Founder of CRED (2018) and FreeCharge (acquired by Snapdeal). One of India's most prolific founder-investors: 260–290+ startups backed, ~11–13 unicorns. Portfolio: Razorpay, Unacademy, Spinny, Slice, BharatPe, Khatabook, Zetwork, Shiprocket, Nothing (Carl Pei). Board: CRED, Happay, Pine Labs; advisor to Y Combinator and Peak XV.",,,"Kunal Shah is one of India's most influential entrepreneurs and its single most prolific founder-turned-angel investor. He first built FreeCharge, a digital payments and recharge platform later acquired by Snapdeal, before founding CRED in 2018 — a fintech platform rewarding creditworthy users that has grown into one of the country's most prominent unicorns. His personal wealth, largely tied to his CRED stake, is estimated around $500–600 million. As an angel, Shah has backed more than 260 startups across India and the US — the largest such portfolio of any Indian founder-investor — of which roughly a dozen have become unicorns. His investments span Razorpay, Unacademy, Spinny, Slice, BharatPe, Khatabook, Zetwork, Shiprocket and even Carl Pei's consumer-electronics venture Nothing, reflecting a thesis rooted in consumer internet, fintech and trust-and-distribution-driven businesses. Shah is known for sharp, contrarian thinking grounded in behavioural economics, frequently shared with a large public following, and his participation in a round carries strong signalling value in the ecosystem. Beyond writing cheques, he holds board seats at CRED, Happay and Pine Labs and has advised Y Combinator and Peak XV (Sequoia India). His blend of operator credibility, network depth and brand equity makes him a highly sought-after early backer for India's most ambitious consumer and fintech founders.","Verified (web sources, 2021–26)",,
Anand Chandrasekaran,"Angel Investor / VC (Managing Partner, Celesta Capital)","Pre-Seed, Seed","Back product-led founders building across the India–US corridor, drawing on two decades of operating experience at global platforms to help with product, GTM and cross-border scaling.","SaaS, Enterprise/AI, FinTech, Consumer, DeepTech",Seed-stage angel cheques (typically undisclosed),https://www.celesta.vc,https://www.linkedin.com/in/anandc,"Ex-CPO/product leader at Five9, Meta (Messenger), Bharti Airtel, Snapdeal/FreeCharge; founder of Aeroprise (acq. BMC). 80+ angel investments, ~10 unicorns; ranked #1 India–US seed investor by Hurun 2022–24. Former Partner at General Catalyst (built India–US practice); now Managing Partner, Celesta Capital; co-founded Crescendo & HiOctave. Portfolio: MoEngage, Rupeek, DealShare, NoBroker, FPL/OneCard, Exotel, Scaler, SAFE Security.",,,"Anand Chandrasekaran is one of the most recognised angel investors operating across the India–US technology corridor, and a seasoned product executive. Over two decades he served as a product leader at Five9 — where he helped grow revenue from roughly $120M to $600M ARR — Meta's Messenger Platform, Bharti Airtel and Snapdeal/FreeCharge, and earlier founded Aeroprise, acquired by BMC Software. Since 2015 he has made more than 80 angel investments, around ten of which have become unicorns, and was ranked the #1 seed investor focused on the India–US corridor by the Hurun India report for three consecutive years (2022–2024). His portfolio spans enterprise software, AI, fintech and consumer, including MoEngage, Rupeek, DealShare, NoBroker, FPL Technologies (OneCard), Exotel, Scaler and SAFE Security. He brings a distinctive operator's lens to early-stage investing — deep product intuition and a global network — helping founders with product strategy, go-to-market and cross-border expansion. After establishing the India–US investing practice as a Partner at General Catalyst, where he also co-created the AI-first contact-centre company Crescendo, he is now Managing Partner at Celesta Capital, a deep-tech focused firm, while continuing to back founders. A Stanford graduate, he was named a World Economic Forum Young Global Leader and to Fortune India's 40-under-40.","Verified (web sources, 2022–26)",,
Kunal Bahl,"Angel Investor / VC (co-founder, Titan Capital)","Pre-Seed, Seed, Pre-Series A / Series A","Back passionate, driven founders early across consumer tech, fintech, SaaS, consumer brands, healthtech and B2B services; lead seed rounds and double down on winners through later rounds.","Consumer Tech, FinTech, SaaS, Consumer Brands, HealthTech, B2B Services","~$300K–$500K seed lead (Titan Seed Fund, proprietary); follow-on ~INR 15 Cr avg via Winners Fund",https://www.titancapital.vc,https://www.linkedin.com/in/kunalbahl/,"Co-founder of Snapdeal & AceVector (also Unicommerce, Stellaro Brands); Shark Tank India S4 judge. Titan Capital (with Rohit Bansal) investing since 2011: 250–280+ startups. Winners Fund = SEBI Cat-II AIF, ₹333 Cr final close (2024), follow-on into ~20 winners. Portfolio: Ola, Urban Company, Razorpay, Mamaearth, OfBusiness, Unicommerce, Credgenics.",,,"Kunal Bahl is a pioneering Indian technology entrepreneur and one of the country's most active founder-investors. He co-founded Snapdeal in 2010 with Rohit Bansal, building it into one of India's largest e-commerce platforms, and today chairs AceVector, the holding company for Snapdeal, Unicommerce and Stellaro Brands. Alongside Bansal he runs Titan Capital, an early-stage investment firm through which the pair have backed more than 250–280 startups since 2011 — initially entirely from their own capital. Titan Capital is sector-agnostic but emphasises passionate, driven founders across consumer tech, fintech, SaaS, consumer brands, healthtech and B2B services, typically leading seed rounds with cheques of roughly $300K–$500K through its proprietary Titan Seed Fund. Its portfolio includes some of India's biggest successes — Ola, Urban Company, Razorpay, Mamaearth, OfBusiness, Unicommerce and Credgenics. In 2024 the firm raised external capital for the first time via the Titan Capital Winners Fund, a SEBI Category-II AIF that closed at ₹333 crore and is dedicated to follow-on investments in around 20 of its best-performing portfolio companies at an average ticket of about ₹15 crore. A judge on Shark Tank India and a member of the National Startup Advisory Council, Bahl is among the most influential voices in Indian entrepreneurship.","Verified (web sources, 2024–26)",,
Gaurav Munjal,Angel Investor (Individual) / Founder,"Pre-Seed, Seed","Back passionate founders with disruptive ideas in early-stage technology, drawing on edtech and consumer-internet operating experience to mentor on product and scaling.","EdTech, Consumer Tech, SaaS, Media & Entertainment, Enterprise, Gaming",Early-stage angel cheques (typically undisclosed),https://unacademy.com,https://www.linkedin.com/in/gauravmunjal/,"Co-founder & CEO of Unacademy (founded 2015, edtech unicorn, peaked ~$3.4B). Earlier founded Flatchat (acq. CommonFloor 2014); also Graphy, Airlearn. Angel in ~48–63 startups across India & US. Portfolio: Pine Labs, Pratilipi, Ultrahuman, Rheo TV, TapChief, Lissun, Gully Labs.",,,"Gaurav Munjal is the co-founder and CEO of Unacademy, one of India's largest online learning platforms, and an active early-stage angel investor. He began as a technologist and entrepreneur, founding the student-accommodation app Flatchat (acquired by CommonFloor in 2014) before building Unacademy — which started as a YouTube channel in 2010 and was formally founded in 2015 with Roman Saini, Hemesh Singh and Sumit Jain. Under his leadership Unacademy grew into an edtech unicorn, reaching a peak valuation of roughly $3.4 billion after a 2020 SoftBank-led round, and he has since steered it toward profitability while also launching ventures like Graphy and Airlearn. As an angel, Munjal has backed somewhere between 48 and 63 startups across India and the US, spanning edtech, consumer technology, SaaS, media and entertainment, enterprise software and gaming. His portfolio includes Pine Labs, Pratilipi, Ultrahuman, Rheo TV, TapChief, Lissun and Gully Labs. He typically invests at pre-seed and seed and is known for backing founders with strong conviction and product clarity, offering mentorship on scaling consumer products in emerging markets. As one of India's most prominent edtech founders and a vocal advocate for its startup ecosystem, his backing carries meaningful signalling value for early-stage founders.","Verified (web sources, 2024–26)",,
Ritesh Agarwal,Angel Investor / Family Office (Aroa Ventures),"Seed, Early & Growth-stage","Make value-add, operationally-oriented investments in companies with proven unit economics, ~20% YoY growth and $1–10M revenue, partnering with high-repute entrepreneurs building long-lasting businesses.","Consumer, Technology, Leisure Infrastructure, Software, Media & Entertainment, FinTech, Retail",$500K–$5M (~INR 4–41 Cr),https://www.aroaventures.com,https://www.linkedin.com/in/agarwalritesh/,"Founder/CEO of OYO. Personal vehicle Aroa Ventures (Singapore, est. 2020), sponsored by RACo Holding, 100% controlled by Agarwal, headed by Gaurav Gulati (ex-Innov8 COO). ~₹418 Cr AUM, ~45 investments. Portfolio: ZipLoan, Fashalot, Atomberg, GIFSKEY, Wysh, Shyle. Also Shark Tank India guest investor.",,,"Ritesh Agarwal is the founder and CEO of OYO, the SoftBank-backed global hospitality company, and one of India's youngest self-made billionaires. He channels his personal investing through Aroa Ventures, a Singapore-based firm he established in 2020, sponsored by his RACo Holding Company and fully controlled by him, with day-to-day operations led by Gaurav Gulati, the former COO of Innov8 (which OYO acquired in 2019). Aroa focuses on early and growth-stage businesses across consumer, technology and leisure-infrastructure sectors, and is explicitly operationally oriented — seeking companies with proven unit economics, roughly 20% year-on-year growth and $1–10 million in annual revenue, run by high-repute entrepreneurs building long-lasting businesses. The firm writes cheques between $500K and $5 million (about ₹4–41 crore) and, beyond capital, helps portfolio companies accelerate growth and improve risk-adjusted returns. Aroa manages around ₹418 crore and has made roughly 45 investments, with sector exposure spanning software, media and entertainment, finance and retail; named portfolio companies include ZipLoan, Fashalot, Atomberg Technologies, GIFSKEY, Wysh and, via Shark Tank India, Shyle. Agarwal's scaling experience across 80-plus countries gives him a distinctive global operating perspective on unit economics, distribution and expansion that founders value alongside his capital and brand.","Verified (web sources, 2020–26)",,
Anupam Mittal,Angel Investor (Individual) / Founder,"Pre-Seed, Seed (and Shark Tank deals)","Back scalable, innovative solutions to real-life problems across tech and consumer/D2C; an operator-investor who mentors founders on building and scaling, with a sharp eye on unit economics.","Consumer Internet, D2C, FinTech, E-commerce, SaaS, DeepTech, CleanTech, HealthTech, Mobile",$50K – $500K,https://www.shaadi.com,https://www.linkedin.com/in/anupammittal007,"Founder/CEO People Group (Shaadi.com, Makaan.com, Mauj Mobile). Angel since 2007 (first: Interactive Avenues). 200–250+ startups; Shark Tank India judge S1–S3. Portfolio: Ola, BigBasket, Rapido, Rupeek, Druva, Agnikul, FarEye, NxtWave, Animall, Whatfix, plus D2C (Skippi, Hair Originals). Ticket researched: typical first cheque $50K–$500K (Pipeseed); historically ~₹25–50L average with larger outliers (Business Today).",,,"Anupam Mittal is one of India's most recognisable entrepreneurs and prolific angel investors, best known as the founder and CEO of Shaadi.com — among the world's largest matrimonial platforms — and of People Group, which also operates Makaan.com and Mauj Mobile, India's first mobile-gaming and value-added-services company. Born in Mumbai in 1971 and educated at Boston College, he pioneered internet-based consumer services in India from the late 1990s. He began angel investing in 2007 with Interactive Avenues (a digital advertising agency that became his most successful early bet) and has since backed more than 200–250 startups across consumer internet, D2C, fintech, e-commerce, SaaS, deep tech, clean tech and healthcare. His portfolio includes Ola, BigBasket, Rapido, Rupeek, Druva, Agnikul, FarEye, NxtWave, Animall and Whatfix, alongside numerous D2C brands such as Skippi and Hair Originals. Mittal reached a far wider audience as a judge on Shark Tank India across its first three seasons, where he invested roughly ₹1.89 crore across 55-plus businesses and became known for sharp questioning around unit economics, founder credibility and defensibility. His investment philosophy centres on backing scalable, innovative solutions to real problems, and his blend of operator credibility, capital and mass-media visibility makes him a high-signal early backer.","Verified (web sources, 2024–26)",,
